batch_size,dropout,hidden,hiddenlayer,layer_type,learning_rate,id,objective,elapsed_sec,duration
100.0,0.7887402320173351,13.0,1.0,0.0,0.01700741497785229,22,0.32113821138211385,341.30375695228577,329.453307390213
45.0,0.4315741086863476,18.0,1.0,0.0,0.004427925894608322,23,0.6092479674796748,344.6953914165497,332.8449285030365
109.0,0.734208236395578,81.0,1.0,0.0,0.004628702156371313,21,0.32113821138211385,346.2024405002594,334.3520030975342
59.0,0.4793624692185286,112.0,1.0,0.0,0.030877840390382626,15,0.32113821138211385,347.11568880081177,335.2653262615204
48.0,0.05184427730361761,124.0,1.0,0.0,0.016355818929570328,9,0.32113821138211385,349.48410177230835,337.63381719589233
16.0,0.2889339171031927,111.0,1.0,0.0,0.0019769967701792073,8,0.7845528455284553,354.2651755809784,342.41490411758423
96.0,0.07702361357551446,10.0,2.0,0.0,0.025147220790331746,20,0.32113821138211385,379.46353244781494,367.6131055355072
32,0.1,32,2,0,0.001,1,0.6864837398373984,389.6591606140137,377.8089916706085
70.0,0.2408022710662673,90.0,1.0,1.0,0.029231691864228027,24,0.32113821138211385,407.0481536388397,395.19767808914185
70.0,0.3893405153728017,73.0,1.0,1.0,0.00701442535099187,5,0.43089430894308944,421.22668385505676,409.37645077705383
96.0,0.8842578074521258,40.0,3.0,0.0,0.03711633353671756,19,0.32113821138211385,426.88927245140076,415.0388603210449
47.0,0.3709668970111308,64.0,3.0,0.0,0.03088990075453016,14,0.32113821138211385,427.319216966629,415.46886825561523
125.0,0.7819563591136873,106.0,1.0,1.0,0.006833461084717557,17,0.32113821138211385,429.41702461242676,417.5666379928589
35.0,0.4815942712800293,123.0,3.0,0.0,0.00133353819580396,10,0.7611788617886179,430.57782649993896,418.72752952575684
103.0,0.15484812020274027,26.0,3.0,0.0,0.0017840217362969366,13,0.6905487804878049,435.4616045951843,423.6112699508667
82.0,0.8897606266602889,118.0,3.0,0.0,0.028081074465983253,2,0.32113821138211385,447.96991753578186,436.1197247505188
68.0,0.799932277669952,38.0,4.0,0.0,0.01887886739179476,16,0.6260162601626016,467.98912048339844,456.1387445926666
69.0,0.39480607378766747,55.0,2.0,1.0,0.0018614312837035773,4,0.6402439024390244,471.9548876285553,460.1046681404114
28.0,0.7099823607464075,123.0,2.0,1.0,0.02937274167008073,7,0.32113821138211385,485.12867736816406,473.27841806411743
61.0,0.8425307078566245,112.0,4.0,0.0,0.03891024490486084,12,0.32113821138211385,491.4616770744324,479.6113545894623
91.0,0.03486318840893364,53.0,3.0,1.0,0.009670732283434411,3,0.6255081300813008,517.6216518878937,505.7714455127716
126.0,0.3001864609979183,13.0,3.0,1.0,0.01657125005845668,18,0.38160569105691056,523.7669734954834,511.9165735244751
57.0,0.24682530887070875,97.0,3.0,1.0,0.0166300276018725,11,0.32113821138211385,551.7874083518982,539.9370996952057
101.0,0.19707068604938432,85.0,3.0,1.0,0.002832279425797495,6,0.6316056910569106,557.8663511276245,546.0161046981812
61.0,0.16656010353308187,126.0,1.0,0.0,0.0044865169959212615,25,0.7311991869918699,625.1039662361145,283.23879170417786
82.0,0.3675699754956467,104.0,2.0,0.0,0.028706447167791912,27,0.32113821138211385,662.4934191703796,315.7594394683838
59.0,0.8806836775722225,127.0,1.0,0.0,0.015348633591316278,32,0.32113821138211385,673.1262671947479,282.93213510513306
48.0,0.5602789212458761,87.0,1.0,0.0,0.0020318280456360148,33,0.7296747967479674,678.9048955440521,271.42684388160706
63.0,0.38956675668703483,81.0,1.0,1.0,0.005609468556075341,26,0.6285569105691057,682.413934469223,337.2918336391449
41.0,0.2544044628879148,29.0,1.0,1.0,0.0931473728796431,29,0.32113821138211385,683.9797444343567,334.0690953731537
42.0,0.6272261748073275,21.0,2.0,0.0,0.02534368763561607,31,0.32113821138211385,685.4711608886719,305.5822579860687
13.0,0.9891025852035034,112.0,3.0,0.0,0.003348050773772795,30,0.32113821138211385,730.6052646636963,375.8086190223694
56.0,0.46037877787654996,41.0,2.0,1.0,0.08255900853775996,28,0.32113821138211385,736.4286901950836,388.88662028312683
88.0,0.530552840561239,115.0,1.0,0.0,0.08465410328857488,41,0.32113821138211385,748.6202185153961,280.20009875297546
113.0,0.6701555670997776,60.0,1.0,1.0,0.038286699370686635,37,0.32113821138211385,771.7399215698242,341.88954162597656
19.0,0.2732431142459717,54.0,3.0,0.0,0.014923841569724993,38,0.6483739837398373,775.0229167938232,343.9076449871063
115.0,0.3061779224287192,110.0,1.0,0.0,0.006870984633662936,46,0.6026422764227642,797.4901490211487,273.1915850639343
95.0,0.8737153023456962,127.0,2.0,0.0,0.0015059383835288724,42,0.7149390243902439,799.1249363422394,326.6421871185303
61.0,0.08669705492199777,76.0,2.0,0.0,0.0019517543875613237,45,0.7779471544715447,834.0518796443939,316.0045328140259
36.0,0.7296946973591513,101.0,4.0,0.0,0.017726012630089032,34,0.32113821138211385,837.5960788726807,415.8389689922333
35,0.1377004446949877,105,1,0,0.003985656377029195,48,0.6961382113821138,847.686940908432,288.7993166446686
113.0,0.26454136110964277,88.0,4.0,0.0,0.00123923939204502,36,0.6986788617886179,853.192140340805,425.32946515083313
12.0,0.10941825956606444,81.0,3.0,1.0,0.001226825331733569,35,0.608739837398374,897.0878684520721,469.769180059433
119,0.4513165324464587,110,1,0,0.003333237413851068,55,0.6991869918699187,951.8694615364075,265.4864354133606
117,0.8878075744260997,118,1,0,0.0012015368896622133,53,0.641260162601626,954.6875441074371,271.20064878463745
123,0.867314816206658,121,1,0,0.00334875494523051,54,0.32113821138211385,958.6255903244019,273.63477778434753
81.0,0.8831283018825458,79.0,3.0,1.0,0.050266390235001776,44,0.32113821138211385,972.6504695415497,480.6608123779297
